article;type;approach;sub_type;year;temporal_range;spatial_range;taxonomic_coverage;n_species;n_samples;data ;ecological_level;metric_method;category;sub_category;conclusion;simple_conclusion;causes;additional_comments
Shelton, A. O. & Mangel, M. Fluctuations of fish populations and the magnifying effects of fishing. PNAS 108, 7075–7080 (2011).;Biodiversity analysis;top-down;drivers;2011;unknown;Marine;fishes;45;222;Aggregation;Biomass;Biomass production model;anthropogenic;anthropogenic;Not the effect of fisheries at species level that causes the dynamics but more the variation in environmental conditions;no/positive effect of drivers;Fisheries;/
Daskalova, G. N., Myers-Smith, I. H. & Godlee, J. L. Rare and common vertebrates span a wide spectrum of population trends. Nat Commun 11, 4394 (2020).;Biodiversity analysis;top-down;trend;2020;1970-2014;Africa, America, Asia, Europe, Oceania;mammals, birds, amphibians, reptiles;2084;9286;LPD;Abundance, others;SSM, GLMM;population model;statistical model;15% declined, 18% increased, 67% no net changes;mixed trends;No;/
McGowan, P., Owens, L. & Grainger, M. Galliformes science and species extinctions: What we know and what we need to know. Animal Biodiversity and Conservation 35.2, 321–331 (2012).;Review biodiversity;bottom-up;trend;2012;/;/;birds;/;/;/;/;/;/;/;26% of Galliformes species at risk of extinction (12% all  bird species);decreasing trends;No;/
Parmesan, C. & Yohe, G. A globally coherent fingerprint of climate change impacts across natural systems. Nature 421, 37–42 (2003).;Biodiversity analysis;bottom-up;drivers;2003;unknown;unknown;mammals, birds, amphibians, reptiles, fishes, insects, invertebrates, plants;1723;unknown;Aggregation;Other;Probabilistic model;CC;CC;Signif range shifts 6.1 km/decade towards the poles, significant mean advancement of spring events by 2.3 days/decade. Probabilistic model : if CC not the only possible causal agent, proba that it’s the principal one between 0,35 and 0,7. Very high confidence (>95%) in a global climate change fingerprint.;negative effect of drivers;CC;"Other = Phenological/Distribution and abundance shifts ; Economists view vs biologists view of correlation analysis. Economists’ measure—the estimated proportion of observed changes for which climate trends are the principal drivers—to data sets chosen using biologists’ criteria. We call this a ‘global coherence’ approach to the detection of climate change impacts. Different number of species depending on the analysis"
Buschke, F., Hagan, J., Santini, L. & Coetzee, B. Random population fluctuations bias the Living Planet Index. Nature Ecology & Evolution 5, (2021).;Method analysis;/;/;2021;1970-2015;unknown;unknown;unknown;15348;LPD;Abundance;LPI;;;random fluctuations exaggerate declines in the global LPI by 9.6%;irrelevant;No;/
Magera, A. M., Flemming, J. E. M., Kaschner, K., Christensen, L. B. & Lotze, H. K. Recovery Trends in Marine Mammal Populations. PLOS ONE 8, e77908 (2013).;Biodiversity analysis;top-down;trend;2013;1800-2008;Marine;mammals;47;182;Aggregation;Abundance;Linear regression;population model;statistical model;increase 42%, decrease 10%, no change 28%, unknown 20% = more marine mammal populations are recovering than not;mixed trends;No;Full temporal range = 1800-2008, most pop more recent though (+ when 1800 = only 2/3 points)
Marsh, D. M. Fluctuations in amphibian populations: a meta-analysis. Biological Conservation 101, 327–335 (2001).;Biodiversity analysis;bottom-up;trend;2001;unknown;America, Europe;amphibians;unknown;69;Other;Abundance;CV, GLMM;indicators;moment;Longer TS = more fluctuations, higher latitude = less fluctuations, terrestrial repro = less fluctuation than aquatic;it depends;No ;/
Bennett, N. J., Blythe, J., Tyler, S. & Ban, N. C. Communities and change in the anthropocene: understanding social-ecological vulnerability and planning adaptations to multiple interacting exposures. Reg Environ Change 16, 907–926 (2016).;Review biodiversity;bottom-up;drivers;2016;/;/;/;/;/;/;/;/;/;/;Species range shifts, reduced thermal optima, coral bleaching, ecosystem changes, invasive species, diseases and biodiversity loss in response to CC;negative effect of drivers;CC;/
Reading, C. J. et al. Are snake populations in widespread decline? Biol Lett 6, 777–780 (2010).;Biodiversity analysis;top-down;trend;2010;1985-2010;Africa, Europe, Oceania;reptiles;8;17;Aggregation;Abundance;Linear regression;population model;statistical model;Decline;decreasing trends;No;/
García-Carreras, B. & Reuman, D. An empirical link between the spectral colour of climate and the spectral colour of field populations in the context of climate change. The Journal of animal ecology 80, 1042–8 (2011).;Biodiversity analysis;top-down;drivers;2011;1901-1995;Africa, America, Asia, Europe, Oceania;mammals, birds, fishes, insects;72;147;GPDD;Abundance;Spectral color;CC;CC;Oscillations in environmental is linked to oscillations in population time series. More and more « high-frequency » oscillations;negative effect of drivers;CC;May be interesting to measure variability
Meerhoff, M. et al. Environmental Warming in Shallow Lakes: A Review of Potential Changes in Community Structure as Evidenced from Space-for-Time Substitution Approaches. Advances in Ecological Research 46, (2012).;Review biodiversity;bottom-up;drivers;2012;/;/;fishes;/;/;/;/;SFTS;/;/;"Decreasing SR/biomass in shallow lakes w/ latitude (except for zooplankton = inverse) ; mean body size decrease with increasing temperatures (fishes)";it depends;No;/
Loh, J. et al. The Living Planet Index: using species population time series to track trends in biodiversity. Philosophical Transactions of the Royal Society B: Biological Sciences 360, 289–295 (2005).;Biodiversity analysis;top-down;trend;2005;1970-2000;Africa, America, Asia, Europe, Oceania;mammals, birds, amphibians, reptiles, fishes;1127;3000;LPD;Abundance;LPI;indicators;index;Decline;decreasing trends;No;/
CLIMATE CHANGE EFFECTS ON WILDLIFE POPULATIONS;Biodiversity analysis;bottom-up;drivers;2009;1990-2007;unknown;mammals, birds, amphibians, reptiles, fishes, insects;44;47;Aggregation;Abundance;Meta-analysis, binomial logistic regression;CC;CC;"73 % of the studies = negative CC effects ; advantage of short-lived species (structural adaptation hypothesis)";negative effect of drivers;CC;/
Stephens, P. A. et al. Consistent response of bird populations to climate change on two continents. Science (2016).;Biodiversity analysis;top-down;trend;2016;1980-2010;America, Europe;birds ;525;525;Aggregation;Abundance;Index (Climate Impact Index, own method);indicators;index;In average : decline in europe, stable in north america. Species predicted to benefit from increasing temperatures tended to increase, whereas those predicted to be negatively affected declined. CC affect species in wide ranges.;mixed trends;CC;/
Houllier, F. A propos des modèles de la dynamique des peuplements hétérogènes : structures, processus démographiques et mécanismes de régulation. Revue d’Ecologie, Terre et Vie 50, 273–282 (1995).;Review methods;/;/;1995;/;/;/;/;/;/;/;/;/;/;Review of methods and models used to describe and simulate the dynamics of heterogeneous settlements (eg dense rainforests). Global production models, discrete time demographic models, individual growth models…;irrelevant;No;/
Large numbers of vertebrates began rapid population decline in the late 19th century;Biodiversity analysis;top-down;trend;2016;unknown;unknown;mammals, birds, amphibians, reptiles, fishes;2764;2764;Aggregation;Other;Demographic model;population model;population dynamics model;∼25% population decline every 10 y in threatened vertebrate species;decreasing trends;No;Other= Genetic diversity
Palomares, M. L. D. et al. Fishery biomass trends of exploited fish populations in marine ecoregions, climatic zones and ocean basins. Estuarine, Coastal and Shelf Science 243, 106896 (2020).;Biodiversity analysis;top-down;trend;2020;1950-2014;Marine;fishes, invertebrates;483;1320;Aggregation;Biomass;Bayesian CMSY stock assessment method;population model;population dynamics model;Decline;decreasing trends;No;/
Sau, A., Saha, B. & Bhattacharya, S. An extended stochastic Allee model with harvesting and the risk of extinction of the herring population. Journal of Theoretical Biology 503, 110375 (2020).;Biodiversity analysis;top-down;drivers;2020;unknown;Marine;fishes;4;4;GPDD;Abundance;Theta-logistic vs Allee effect w/ stochasticity (own model) incorporating harvesting;anthropogenic;anthropogenic;Extinction risk underestimated when harvesting not taken into account;negative effect of drivers;Harvesting;/
Done, T. J. Coral Community Adaptability to Environmental Change at the Scales of Regions, Reefs and Reef Zones. American Zoologist 39, 66–79 (1999).;Review biodiversity;bottom-up;drivers;1999;/;/;invertebrates;/;/;/;/;/;/;/;"Impact of increase in temperature/sea level/atm CO2 on coral community trajectories ; responses = physiologic (greater diversity = greater breadth of tolerance), turnover, shift from r to K ";negative effect of drivers;CC;/
Kitzes, J. & Harte, J. Predicting extinction debt from community patterns. Ecology 96, 2127–2136 (2015).;Biodiversity analysis;top-down;trend;2015;2000-2000;Africa, America, Asia, Oceania;birds, plants;unknown;25;Aggregation;Abundance, SR;Prediction models (direct extinction + extinction debt);population model;population dynamics model;Birds : 0-5 % direct extinctions, 30-50 % long-term extinction rate => actually threatened bird species may be saved, plants : 5-14 % direct, no debt;decreasing trends;No;/
Capdevila, P., Noviello, N., McRae, L., Freeman, R. & Clements, C. F. Global patterns of resilience decline in vertebrate populations. Ecology Letters 25, 240–251 (2022).;Biodiversity analysis;top-down;trend;2022;1970-2015;Africa, America, Asia, Europe, Oceania;mammals, birds, amphibians, reptiles, fishes;1068;2434;LPD;Abundance, others;Resistance and recovery through growth rate, SSM (linear trends) in res and rec;population model;statistical model;Decline in both resilience & recovery, resilience declining mostly through decrease in rec rather than their res;decreasing trends;No;/
Wang, J., Soininen, J. & Heino, J. Ecological indicators for aquatic biodiversity, ecosystem functions, human activities and climate change. Ecological Indicators 132, 108250 (2021).;Review biodiversity;bottom-up;drivers;2021;/;Europe, Asia;fishes, invertebrates;/;/;/;/;/;/;/;influence of human activities and climate changes on aquatic biodiversity (mostly negative impacts, homogenization);negative effect of drivers;CC, human activities;/
Williams, J. J., Freeman, R., Spooner, F. & Newbold, T. Vertebrate population trends are influenced by interactions between land use, climatic position, habitat loss and climate change. Global Change Biology 28, 797–815 (2022).;Biodiversity analysis;top-down;trend;2022;1992-2015;Africa, America, Asia, Europe, Oceania;mammals, birds, amphibians, reptiles;423;7123;Biotime, LPD;Abundance;Average logged annual rate of population change (sort of linear model), GAM, GLMM;population model;statistical model;Sligth decline;decreasing trends;LUC, CC;Only terrestrial
Williams, J. J., Freeman, R., Spooner, F. & Newbold, T. Vertebrate population trends are influenced by interactions between land use, climatic position, habitat loss and climate change. Global Change Biology 28, 797–815 (2022).;Biodiversity analysis;top-down;drivers;2022;1992-2015;Africa, America, Asia, Europe, Oceania;mammals, birds, amphibians, reptiles;423;7123;Biotime, LPD;Abundance;Average logged annual rate of population change (sort of linear model), GAM, GLMM;anthropogenic;anthropogenic;Sligth decline;negative effect of drivers;LUC, CC;Only terrestrial
Pouteau, R. et al. Environmental and socioeconomic correlates of extinction risk in endemic species. Diversity and Distributions 28, 53–64 (2022).;Biodiversity analysis;bottom-up;drivers;2022;unknown;Africa, America, Asia, Europe, Oceania;mammals, birds, amphibians, reptiles, fishes, invertebrates, plants;27294;27294;Other;Index;Structural equation models (SEM);anthropogenic;anthropogenic;IoT strongly correlated w/her directly or indirectly, with (eni (+)c pressures, ma (-), DP, roadless area and (+))number of invasive alien plants several anthropogenic pressures, mainly per area GDP, roadless area and number of invasive alien plants ;negative effect of drivers;CC, LUC, invasive species, GDP…;Index = Index of Threat (IoT) , SEMs to test hypothesized connections linking country-level environmental and socioeconomic variables related to anthropogenic pressures, mitigation measures and data limitations (predictor variables) and the proportion of threatened endemic species in each country (response variables) or inter- linking country-level environmental and socioeconomic variables
Branquinho, C., Serrano, H., Nunes, A., Pinho, P. & Matos, P. Essential Biodiversity Change Indicators for Evaluating the Effects of Anthropocene in Ecosystems at a Global Scale. In 137–163 (2019).;Review biodiversity;bottom-up;drivers;2019;/;/;/;/;/;/;/;/;/;/;low intensity drivers influence fitness, Biodiversity Change Metrics ecophysiological-based/ intermediate intensity : trait-based (sensitive vs tolerant species) / strong intensity : decreases in abundance and species loss, taxonomic-based (SR + beta div);negative effect of drivers;No;EVB = genetic composition,” “species populations,” “species traits,” “community composition,” “ecosystem structure,” and “ecosystem function”  Complexity of biodiv =different taxa, species diversity, complex ecological interactions, numerous pressures acting synergistically… obstacles to have limited number of variables to measure+ documenting & quantifying biodiv change huge challenge due to sparse/biaised data and general lack of agreed international standards (information gaps, geo/temp/taxo biases. Most data less biodiv area = NA/Europe, vertebrates > other taxa)
Yan, Y. et al. Evaluation of the influence of ENSO on tropical vegetation in long time series using a new indicator. Ecological Indicators 129, 107872 (2021).;Biodiversity analysis;top-down;trend;2021;1982-2018;Africa, America, Asia ;plants;unknown;unknown;Aggregation;Index;VERI;indicators;index;"overall enhancement of tropical vegetation BUT Bsignificant trend of vegetation degradation in northeast Brazil; five regions of positive correlation ENSO/NDVI and five negative, positive associated w/ increasing precipitation and decreasing temp and neg w/ inc T°/ dec pre";it depends;No;"Index = Normalized difference vegetation index (NDVI) ; VERI = Vegetation ENSO Response Index, ENSO = El Nino Southern Oscillations"
Zizka, A., Andermann, T. & Silvestro, D. IUCNN – Deep learning approaches to approximate species’ extinction risk. Diversity and Distributions 28, 227–241 (2022).;Method analysis;/;/;2022;unknown;unknown;plants;14093;14093;GBIF;Abundance;Neural network (deep learning);;;R package to improve RL extinction risk assessment;irrelevant;No;Overcome bias in extinction risk assessment : 68 % vertebrate species evaluated at least once, only 7 % plants, 2 % invertebrates, <1 % fungi & protists
McCallum, M. L. Vertebrate biodiversity losses point to a sixth mass extinction. Biodivers Conserv 24, 2497–2519 (2015).;Biodiversity analysis;bottom-up;trend;2015;1500-2012;Africa, America, Asia, Europe, Oceania;mammals, birds, amphibians, reptiles, fishes;64283;64283;Other;Index;Fuzzy arithmetic;indicators;index;"Vertebrate extinction 24-85 times faster since 1500 than during cretaceous mass extinction ; 71-297 times faster since 1980";decreasing trends;No;"Data = Red List data, Index = RLI ; compare previously published estimates of vertebrate extinction during the K–Pg extinction to post-1500 and post-1980 extinction data in the IUCN Red List 2012 ; 20% vertebrates extinction since 1980, 31% amphibians ; 10,4 % birds ; 3,8 % mammals ; 18,2 % reptiles ; 47 % fishes"
He, F. et al. The global decline of freshwater megafauna. Global Change Biology 25, 3883–3892 (2019).;Biodiversity analysis;top-down;trend;2019;1970-2012;Africa, America, Asia, Europe, Oceania;mammals, amphibians, reptiles, fishes;126;639;Aggregation;Abundance;LPI;indicators;index;88 % decline;decreasing trends;No;/
Sánchez-Bayo, F. & Wyckhuys, K. A. G. Further evidence for a global decline of the entomofauna. Austral Entomology 60, 9–26 (2021).;Review biodiversity;bottom-up;trend;2021;/;/;/;/;/;/;/;/;/;/;37 % decline, 18 % increase;mixed trends;No;/
Terry, J. C. D., O’Sullivan, J. D. & Rossberg, A. G. Synthesising the multiple impacts of climatic variability on community responses to climate change. Ecography n/a, e06123.;Review biodiversity;bottom-up;drivers;2022;/;/;/;/;/;/;/;/;/;/;"respective roles of variability in environnment and competitors (covariation of the two) ; variability in env mainly negative consequences in single population growth rate but shiftingcommunity from one state to another,not clear positive/negative";it depends;CC;/
WWF. Living Planet Report 2020 - Bending the curve of biodiversity loss. Almond, R.E.A., Grooten M. and Petersen, T. (Eds). WWF, Gland, Switzerland (2020).;Report;top-down;trend;2020;1970-2016;Africa, America, Asia, Europe, Oceania;mammals, birds, amphibians, reptiles;4392;20811;LPD;Abundance and others;LPI;/;/;Decline (67 % terrestrial vertebrates since 1970);decreasing trends;No;/
Pörtner, H.-O. et al. IPBES-IPCC co-sponsored workshop report on biodiversity and climate  change. https://zenodo.org/record/5101133 (2021) doi:10.5281/zenodo.5101133.;Report;bottom-up;drivers;2021;/;/;/;/;/;/;/;/;/;/;"Mutual reinforcing of CC and biodiv loss = resolving either issue requires consideration of the other ; Previous policy tackled problems indenpendently while should be considered simultaneously (measures focused on climate mitigation may have negative impacts on biodiversity / measures focus on protection/restoration of biodiversity sub-optimal benefits for climate mitigation) ; treating climate/biodiversity/human society as coupled system key to succesful outcomes from policy interventions (maximize co-benefits / minimize trade-offs)";negative effect of drivers;CC;/
IPBES;Report;bottom-up;trend;2019;/;/;/;/;/;/;/;/;/;/;"Decline (20 % since 1900 ; 40 % amphibians, 33 % corals), 1 million species threatened with extinction. Impact of human activities +++ ";decreasing trends;No;"145 experts from 50 countries ; 15000 scientific references ; evaluates the changements that occured during the last 5 years and gives a complete overview of the relationship between economic dev trajectories and their impact on nature"
IUCN;Report;top-down;trend;2019;/;/;/;/;/;/;/;/;/;/;28 % IUCN species threatened w/ extinction (amphibians 41 %, sharks 31 %, corals 33%), 10 % increased extinction risks since 1990 (RLI);decreasing trends;No;/
